productid,rawmaterialid,qtyinkg
40090,RM1201,2.0
40090,RM1016,9.5
40090,RM1008,3.2
40090,RM004,2.0
40090,RM001,8.0
40090,RM202,1.2
40091,RM051,30.0
40091,RM183,0.03
40091,RM1201,2.0
40091,RM1016,25.0
40091,RM004,2.0
40091,RM001,7.0
40091,RM602,0.0
40091,RM080,0.5
40093,RM120,0.03
40093,RM197,0.024
40093,RM1201,0.2
40093,RM1016,0.615
40093,RM004,0.32
40093,RM001,3.21
40093,RM504,0.17
40093,RM202,1.15
30046,RM300,0.26
30046,RM200,1.31
MT4004,RM005,6.0
MT4004,RM050,16.0
MT4004,RM1201,0.8
MT4004,RM910,3.57
MT4004,RM400,0.872
MT4004,RM502,0.496
MT1504,RM005,7.0
40095,RM120,0.02
40095,RM051,4.2
40095,RM1201,0.24
40095,RM1016,0.745
40095,RM1008,0.72
40095,RM004,0.24
40095,RM001,0.96
40095,RM200,0.025
40096,RM051,30.0
40096,RM1201,2.0
40096,RM984,0.008
40096,RM1016,3.0
40096,RM1008,0.7
40096,RM004,2.0
40096,RM001,10.0
40096,RM200,0.55
40097,RM051,4.37
40097,RM183,0.003
40097,RM1201,0.31
40097,RM1016,0.625
40097,RM1008,0.155
40097,RM004,0.31
40097,RM001,1.56
40097,RM504,0.156
40097,RM505,0.078
40097,RM200,0.078
40098,RM051,32.0
40098,RM1201,2.0
40098,RM1016,7.85
40098,RM1008,1.7
40098,RM004,2.0
40098,RM001,8.0
40098,RM200,2.0
40101,RM051,2.67
40101,RM1201,0.3
40101,RM1016,1.58
40101,RM1008,1.46
40101,RM004,0.3
40101,RM001,1.1
40101,RM200,0.67
40102,RM051,3.8
40102,RM1201,0.3
40102,RM1016,1.36
40102,RM1008,0.5
40102,RM004,0.2
40102,RM001,0.815
40102,RM200,0.475
40103,RM051,28.0
40103,RM1201,2.0
40103,RM1016,0.56
40103,RM1008,3.75
40103,RM004,2.0
40103,RM001,8.0
40103,RM202,3.5
40105,RM051,5.0
40105,RM183,0.001
40105,RM1201,1.0
40105,RM1016,22.5
40105,RM1008,0.02
40105,RM004,3.0
40105,RM001,15.0
40105,RM080,0.0
40106,RM1201,1.0
40106,RM984,0.8
40106,RM1016,1.5
40106,RM1008,0.4
40106,RM004,1.0
40106,RM001,12.0
40106,RM053,25.0
40107,RM051,32.0
40107,RM183,0.01
40107,RM1201,1.0
40107,RM1016,12.0
40107,RM004,0.0
40107,RM001,6.0
40107,RM602,0.01
40107,RM092,1.0
40108,RM051,25.0
40108,RM1201,2.0
40108,RM1016,7.0
40108,RM004,2.0
40108,RM001,10.0
40108,RM602,2.5
40108,RM505,0.7
40108,RM200,3.8
40108,RM092,1.0
40109,RM056,18.0
40109,RM1201,2.0
40109,RM1016,15.0
40109,RM1011,7.2
40109,RM105,0.3
40109,RM004,0.0
40094,RM1008,0.145
40109,RM001,6.0
40109,RM504,3.0
40110,RM056,10.0
40110,RM1201,2.0
40110,RM1016,10.0
40110,RM1011,10.0
40110,RM105,0.3
40110,RM004,0.0
40110,RM001,10.0
40110,RM504,4.5
40111,RM051,26.0
40111,RM1201,2.0
40111,RM105,0.0
40111,RM004,2.0
40111,RM001,10.0
40111,RM602,0.19
40111,RM400,2.0
40111,RM200,8.0
40112,RM051,30.0
40112,RM1201,2.0
40112,RM105,0.0
40112,RM004,2.0
40112,RM001,10.0
40112,RM606,0.05
40112,RM400,0.03
40112,RM504,0.01
40112,RM200,2.1
40113,RM051,4.4
40113,RM183,0.13
40113,RM1201,0.3
40113,RM105,0.0
40113,RM004,0.31
40113,RM001,1.25
40113,RM602,0.03
40113,RM400,0.475
40113,RM200,0.311
40114,RM051,4.7
40114,RM183,0.04
40114,RM1201,0.3
40114,RM1007,0.005
40114,RM1000,0.017
40114,RM1008,0.19
40114,RM105,0.0
40114,RM004,0.85
40114,RM001,1.67
40114,RM400,0.104
40114,RM505,0.085
40115,RM051,5.02
40115,RM1201,0.29
40115,RM105,0.0
40115,RM004,0.57
40115,RM001,1.15
40115,RM602,0.0045
40115,RM400,0.022
40115,RM200,0.715
40115,RM202,0.715
40117,RM050,24.0
40117,RM1201,2.0
40117,RM1011,0.39
40117,RM105,0.0
40117,RM005,7.0
40117,RM001,4.0
40117,RM400,0.544
40117,RM200,7.772
40118,RM050,50.0
40118,RM1201,0.5
40118,RM005,7.0
40118,RM001,3.0
40118,RM400,2.0
40118,RM505,0.5
40118,RM200,10.0
40118,RM101,0.5
40119,RM050,0.0
40119,RM1201,1.0
40119,RM1000,0.015
40119,RM1008,0.215
40119,RM005,21.0
40119,RM001,0.0
40119,RM400,2.55
40119,RM504,0.425
40119,RM505,1.275
40119,RM200,0.6
40119,RM101,0.0
40120,RM051,25.0
40120,RM1201,1.5
40120,RM005,6.5
40120,RM001,3.0
40120,RM400,1.345
40120,RM390,0.015
40120,RM502,0.256
40120,RM504,0.0
40120,RM505,5.76
40120,RM200,3.1
40120,RM101,0.0
40121,RM051,35.0
40121,RM183,1.275
40121,RM1201,2.0
40121,RM1016,6.0
40121,RM005,7.0
40121,RM001,6.0
40121,RM504,4.0
40121,RM505,4.0
40121,RM200,0.5
40121,RM101,0.0
40122,RM1201,1.0
40122,RM1016,10.0
40122,RM001,7.0
40122,RM012,6.0
40123,RM051,36.0
40123,RM1201,2.5
40123,RM1016,6.72
40123,RM005,4.0
40123,RM001,11.0
40123,RM200,5.25
40123,RM202,5.25
40123,RM092,1.0
40124,RM051,0.0
40124,RM183,0.024
40124,RM1201,2.0
40124,RM005,15.0
40124,RM001,20.0
40124,RM602,0.036
40124,RM400,4.8
40124,RM502,0.18
40124,RM092,1.0
40125,RM051,30.0
40125,RM1201,2.0
40125,RM1016,10.0
40125,RM1008,3.5
40125,RM005,6.0
40125,RM001,6.0
40125,RM200,1.0
40126,RM051,20.0
40126,RM1201,2.0
40126,RM1015,1.8
40126,RM1016,7.5
40126,RM005,4.0
40126,RM001,10.0
40126,RM200,10.0
40127,RM051,30.0
40127,RM1201,2.0
40127,RM1016,9.55
40127,RM1008,2.8
40127,RM005,2.0
40127,RM001,7.0
40127,RM200,3.25
40128,RM050,36.0
40128,RM1201,1.0
40128,RM1016,12.5
40128,RM1008,4.6
40128,RM005,5.0
40128,RM001,5.0
40128,RM504,6.5
40128,RM101,1.0
40129,RM050,4.0
40129,RM1201,0.2
40129,RM1016,0.275
40129,RM1008,1.415
40129,RM005,0.6
40129,RM001,1.0
40129,RM101,0.3
40130,RM050,3.5
40130,RM183,0.0012
40130,RM1201,0.2
40130,RM1016,0.77
40130,RM1000,0.025
40130,RM1008,0.65
40130,RM005,0.6
40130,RM001,1.0
40130,RM390,0.13
40130,RM101,0.3
40131,RM050,35.0
40131,RM1201,1.0
40131,RM984,0.23
40131,RM1016,2.2
40131,RM1008,1.45
40131,RM005,5.0
40131,RM001,5.0
40131,RM101,1.0
40132,RM1201,0.1
40132,RM1016,1.456
40132,RM1008,0.975
40132,RM005,0.0
40132,RM001,0.6
40132,RM504,0.436
40132,RM053,3.88
40132,RM101,0.3
40133,RM050,35.0
40133,RM1201,2.0
40133,RM1016,7.8
40133,RM1008,8.0
40133,RM005,10.0
40133,RM505,0.0
40133,RM200,0.0
40134,RM050,40.0
40134,RM183,0.13
40134,RM1201,2.0
40134,RM1016,20.0
40134,RM1008,0.8
40134,RM005,4.0
40134,RM505,0.5
41007,RM183,0.05
41007,RM400,12.0
41007,RM705,0.15
41007,RM1101,80.15
41007,RM502,2.5
41007,RM200,9.0
41008,RM183,0.175
41008,RM400,12.0
41008,RM1101,80.15
41008,RM200,0.5
41009,RM400,1.0
41009,RM1101,80.15
41009,RM502,0.013
41009,RM200,2.0
41012,RM400,3.75
41012,RM1101,80.15
41012,RM517,1.2
41012,RM507,0.5
41012,RM200,5.0
41012,RM131,2.8
41201,RM984,0.05
41201,RM400,0.3
41201,RM1101,73.15
41201,RM502,0.01
41201,RM960,4.3
41241,RM400,2.1
41241,RM1101,80.15
41241,RM502,0.08
41241,RM504,1.8
41241,RM200,0.6
41245,RM984,0.1
41245,RM400,0.008
41245,RM1102,80.15
41245,RM502,0.05
41245,RM960,1.2
41245,RM959,2.2
41245,RM200,1.6
41247,RM400,0.6
41247,RM1101,80.15
41247,RM502,0.5
41248,RM400,0.81
41248,RM1101,80.15
41248,RM502,0.65
41251,RM400,2.93
41251,RM1101,80.15
41251,RM502,0.315
41251,RM200,2.25
41252,RM183,0.017
41252,RM600,0.335
41252,RM400,13.0
41252,RM1101,80.15
41255,RM600,0.22
41255,RM400,3.1
41255,RM1101,80.15
41255,RM502,0.00135
41301,RM602,0.01
41301,RM400,0.1
41301,RM1101,80.15
41301,RM200,5.0
41302,RM183,0.065
41302,RM600,0.025
41302,RM400,0.065
41302,RM1101,80.15
41302,RM517,0.48
41302,RM200,4.0
41303,RM183,0.315
41303,RM400,1.28
41303,RM705,0.145
41303,RM1102,80.15
41303,RM505,1.04
41303,RM200,0.8
41392,RM400,0.21
41392,RM1102,80.15
41392,RM502,0.25
41392,RM959,0.2
41392,RM200,1.6
41395,RM183,0.07
41395,RM400,0.45
41395,RM1102,80.15
41395,RM502,0.55
41395,RM200,0.94
41396,RM600,0.13
41396,RM400,0.25
41396,RM1102,80.15
41396,RM200,3.8
41398,RM400,0.1
41398,RM702,0.04
41398,RM1102,80.15
41398,RM517,0.35
41398,RM507,0.7
41398,RM200,3.0
41399,RM183,0.025
41399,RM602,0.03
41399,RM400,0.25
41399,RM1102,80.15
41399,RM200,2.0
41411,RM183,0.3
41411,RM400,0.64
41411,RM705,0.175
41411,RM304,0.08
41411,RM1102,80.15
41411,RM517,1.38
41411,RM507,0.07
41411,RM200,0.4
41413,RM183,0.24
41413,RM400,0.285
41413,RM703,0.16
41413,RM1102,80.15
41413,RM517,0.6
41413,RM507,0.29
41413,RM200,2.0
41414,RM183,0.32
41414,RM400,0.47
41414,RM705,0.23
41414,RM304,0.1
41414,RM1101,80.15
41414,RM517,0.83
41414,RM200,1.6
41415,RM183,0.27
41415,RM400,0.5
41415,RM705,0.2
41415,RM304,0.08
41415,RM1101,80.15
41415,RM517,1.4
41415,RM507,0.07
41415,RM200,1.6
41416,RM183,0.4
41416,RM600,0.13
41416,RM400,0.55
41416,RM1101,80.15
41416,RM517,0.05
41416,RM200,2.0
41417,RM183,0.03
41417,RM400,0.04
41417,RM1101,80.15
41417,RM507,0.2
41417,RM200,3.4
41418,RM183,0.11
41418,RM400,0.012
41418,RM304,0.032
41418,RM1101,80.15
41418,RM517,0.4
41418,RM507,0.05
41418,RM200,2.2
41419,RM183,0.375
41419,RM400,0.68
41419,RM702,0.08
41419,RM1101,80.15
41419,RM517,0.44
41419,RM200,1.75
41425,RM183,0.065
41425,RM602,0.09
41425,RM400,0.255
41425,RM1101,80.15
41425,RM517,0.275
41425,RM200,2.68
41428,RM183,0.24
41428,RM600,0.135
41428,RM400,0.8
41428,RM1101,80.15
41429,RM183,0.015
41429,RM400,0.1
41429,RM702,0.035
41429,RM1102,80.15
41429,RM200,2.75
41430,RM400,4.325
41430,RM1101,73.15
41430,RM502,0.225
41433,RM183,0.32
41433,RM400,0.38
41433,RM702,0.028
41433,RM1101,73.15
41433,RM502,0.012
41433,RM200,0.08
41434,RM183,0.16
41434,RM400,0.2
41434,RM702,0.16
41434,RM304,0.08
41434,RM1102,80.15
41434,RM517,0.2
41434,RM200,2.0
41435,RM183,0.13
41435,RM400,0.18
41435,RM1101,80.15
41435,RM505,1.4
41435,RM200,4.0
41436,RM183,0.02
41436,RM400,0.1
41436,RM705,0.02
41436,RM304,0.02
41436,RM1107,80.15
41436,RM517,0.07
41436,RM507,0.02
41436,RM200,0.0
41437,RM183,0.03
41437,RM602,0.0
41437,RM400,1.2
41437,RM1101,80.15
41437,RM200,0.72
41438,RM602,0.016
41438,RM400,0.185
41438,RM1101,80.15
41438,RM517,0.008
41438,RM200,2.8
41439,RM183,0.024
41439,RM400,0.048
41439,RM1101,80.15
41439,RM517,0.2
41439,RM200,3.2
41440,RM400,0.02
41440,RM1101,80.15
41440,RM517,0.5
41440,RM200,3.5
41441,RM183,0.31
41441,RM602,0.056
41441,RM400,0.72
41441,RM1102,80.15
41441,RM517,0.9
41441,RM200,1.3
41443,RM602,0.185
41443,RM400,0.615
41443,RM1102,80.15
41443,RM517,0.095
41443,RM200,3.84
41444,RM182,0.624
41444,RM400,0.5
41444,RM304,0.032
41444,RM1102,80.15
41444,RM505,0.624
41444,RM200,2.08
41445,RM400,0.04
41445,RM1102,80.15
41445,RM517,0.2
41445,RM200,3.2
41446,RM221,0.08
41446,RM400,0.016
41446,RM1102,80.15
41446,RM501,0.3
41446,RM200,2.4
41447,RM222,0.07
41447,RM606,0.08
41447,RM400,0.05
41447,RM1102,80.15
41447,RM504,0.05
41447,RM200,4.0
41448,RM183,0.04
41448,RM602,0.008
41448,RM400,0.12
41448,RM1102,80.15
41448,RM505,0.96
41448,RM200,5.76
41449,RM183,0.12
41449,RM602,0.32
41449,RM400,0.064
41449,RM1102,80.15
41449,RM517,0.32
41449,RM200,1.2
41449,RM910,2.45
41450,RM183,0.4
41450,RM400,1.2
41450,RM702,0.07
41450,RM304,0.025
41450,RM1102,80.15
41450,RM505,1.6
41450,RM200,2.0
41451,RM1102,80.15
41451,RM960,6.2
41451,RM959,0.4
41451,RM200,2.5
41452,RM183,0.26
41452,RM400,0.3
41452,RM705,0.16
41452,RM304,0.0
41452,RM1102,80.15
41452,RM517,0.9
41452,RM200,2.4
41453,RM183,0.336
41453,RM400,0.32
41453,RM705,0.145
41453,RM1103,80.15
41453,RM517,0.96
41453,RM200,1.6
41454,RM984,0.12
41454,RM1103,80.15
41454,RM502,0.145
41454,RM960,0.72
41454,RM959,2.8
41454,RM200,0.8
41456,RM183,0.08
41456,RM400,0.048
41456,RM705,0.0
41456,RM1101,80.15
41456,RM505,0.8
41456,RM200,2.8
41457,RM183,0.135
41457,RM400,0.02
41457,RM304,0.01
41457,RM1102,80.15
41457,RM517,0.335
41457,RM200,1.6
41458,RM183,0.35
41458,RM400,1.5
41458,RM304,0.0
41458,RM1102,80.15
41458,RM502,0.25
41458,RM200,1.0
41459,RM183,0.465
41459,RM400,0.28
41459,RM705,0.16
41459,RM1102,80.15
41459,RM505,1.28
41459,RM200,1.2
41460,RM984,0.16
41460,RM1102,80.15
41460,RM502,0.16
41460,RM960,0.64
41460,RM959,2.8
41460,RM200,1.2
41461,RM400,3.0
41461,RM1101,73.15
41461,RM502,0.275
41463,RM183,0.62
41463,RM400,3.7
41463,RM1101,79.15
41463,RM1102,80.15
41463,RM502,0.385
41465,RM183,0.09
41465,RM400,3.555
41465,RM702,0.04
41465,RM1101,73.15
41465,RM502,0.5
41495,RM400,2.3
41495,RM1101,80.15
41495,RM502,0.1
MT1504,RM1201,1.0
MT1504,RM054,18.0
MT1504,RM919,3.7
41497,RM984,0.15
41497,RM400,0.004
41497,RM1101,73.15
41497,RM502,0.1
41497,RM960,0.75
41497,RM959,2.5
41497,RM200,0.8
41499,RM400,1.85
41499,RM1101,73.15
41499,RM502,0.7
41501,RM400,2.53
41501,RM1103,79.15
41501,RM202,0.335
41502,RM984,0.12
41502,RM400,1.8
41502,RM705,0.15
41502,RM1101,80.15
41502,RM502,3.5
41502,RM200,1.3
41503,RM400,3.0
41503,RM1103,79.15
41503,RM502,0.2
41503,RM202,0.2
41504,RM183,0.035
41504,RM600,0.26
41504,RM400,12.5
41504,RM1103,79.15
41504,RM517,0.005
41505,RM984,0.23
41505,RM400,6.5
41505,RM1103,79.15
41505,RM502,5.8
41505,RM200,14.0
41506,RM183,0.075
41506,RM400,0.54
41506,RM702,0.3
41506,RM1103,79.15
41506,RM502,1.15
41506,RM517,1.4
41506,RM200,14.0
41507,RM602,0.27
41507,RM400,0.95
41507,RM1103,79.15
41507,RM517,0.05
41507,RM200,3.2
41508,RM400,2.0
41508,RM702,0.05
41508,RM1103,79.15
41508,RM502,0.225
41508,RM200,5.5
41514,RM984,0.01
41514,RM400,1.4
41514,RM705,0.2
41514,RM1101,79.15
41514,RM502,2.1
41514,RM200,1.3
41515,RM183,0.12
41515,RM400,2.2
41515,RM1103,79.15
41515,RM517,2.2
41515,RM200,4.4
41516,RM400,5.5
41516,RM1103,79.15
41516,RM502,1.0
41516,RM517,1.0
41516,RM200,1.0
41517,RM183,0.43
41517,RM600,0.72
41517,RM400,6.4
41517,RM1103,79.15
41517,RM502,0.035
41518,RM604,0.07
41518,RM400,0.96
41518,RM1103,79.15
41518,RM200,4.5
41519,RM183,0.01
41519,RM600,0.28
41519,RM400,3.72
41519,RM1103,79.15
41520,RM050,20.0
41520,RM100,0.5
41520,RM045,20.0
41520,RM102,0.2
41520,RM070,0.5
41520,RM061,2.0
41520,RM400,1.2
41520,RM517,4.1
41520,RM040,25.0
41496,RM702,0.045
41520,RM200,2.5
41598,RM183,0.065
41598,RM604,0.26
41598,RM400,0.24
41598,RM1101,73.15
41598,RM502,0.03
41598,RM200,8.0
50006,RM051,20.0
50006,RM1201,2.0
50006,RM1008,5.0
50006,RM004,3.3
50006,RM001,6.6
50006,RM504,0.665
50006,RM505,0.665
50006,RM202,2.335
50011,RM051,10.0
50011,RM1201,2.5
50011,RM004,5.0
50011,RM001,16.55
50011,RM304,0.005
50011,RM505,15.0
50011,RM080,0.5
50012,RM051,18.5
50012,RM1201,2.0
50012,RM004,3.5
50012,RM001,9.0
50012,RM504,4.72
50012,RM505,8.26
50014,RM051,20.0
50014,RM1201,2.0
50014,RM1000,0.025
50014,RM1008,9.25
50014,RM004,2.0
50014,RM001,8.0
50014,RM507,1.68
50014,RM200,2.52
50024,RM051,17.5
50024,RM1201,2.2
50024,RM004,3.35
50024,RM001,9.2
50024,RM953,1.66
50024,RM954,9.365
50024,RM955,0.58
50024,RM202,1.66
50025,RM197,0.05
50025,RM051,0.0
50025,RM1201,2.0
50025,RM1008,0.5
50025,RM912,30.0
50025,RM004,5.0
50025,RM001,15.0
50025,RM312,0.04
50035,RM051,1.7
50035,RM1201,2.0
50035,RM1016,0.003
50035,RM1008,5.43
50035,RM004,3.0
50035,RM001,19.4
50035,RM202,13.2
MT6002,RM005,8.0
MT6002,RM054,16.0
MT6002,RM1201,0.5
MT6002,RM910,4.0
MT6002,RM602,0.8
MT6002,RM300,0.1
50050,RM051,20.0
50050,RM1201,2.0
50050,RM004,2.0
50050,RM001,8.0
50050,RM221,0.05
50050,RM953,2.5
50050,RM954,9.255
50050,RM202,3.7
50050,RM092,0.5
50051,RM051,28.0
50051,RM1201,1.7
50051,RM1007,0.8
50051,RM1008,6.0
50051,RM004,2.0
50051,RM001,10.0
50051,RM703,0.05
50051,RM202,5.0
50051,RM092,0.5
50063,RM051,21.5
50063,RM1201,1.7
50063,RM1008,4.25
50063,RM004,3.0
50063,RM001,7.5
50063,RM202,6.79
50066,RM051,25.25
50066,RM1201,1.7
50066,RM1007,0.16
50066,RM1008,8.83
50066,RM004,2.0
50066,RM001,6.0
50066,RM203,0.8
50082,RM1201,2.0
50082,RM984,0.55
50082,RM004,4.0
50082,RM001,25.0
50082,RM053,18.0
50097,RM051,24.4
50097,RM1201,2.0
50097,RM004,1.6
50097,RM001,8.15
50097,RM703,0.312
50097,RM311,0.108
50097,RM505,16.6
50097,RM200,2.315
50099,RM120,0.02
50099,RM151,5.0
50099,RM1201,1.5
50099,RM1000,0.027
50099,RM1010,2.6
50099,RM1008,7.35
50099,RM004,5.0
50099,RM001,9.0
50099,RM200,1.625
50100,RM051,10.0
50100,RM1201,2.0
50100,RM984,0.32
50100,RM004,1.0
50100,RM001,14.0
50100,RM221,0.05
50100,RM703,0.1
50100,RM515,0.05
50100,RM959,7.0
50100,RM958,0.1
50100,RM200,6.0
50100,RM092,0.5
50101,RM051,25.0
50101,RM1201,2.0
50101,RM1000,0.025
50101,RM004,2.0
50101,RM001,10.0
50101,RM703,0.04
50101,RM505,17.0
50101,RM202,1.135
50101,RM092,0.5
50102,RM051,25.0
50102,RM1201,2.0
50102,RM1008,7.5
50102,RM004,2.0
50102,RM001,10.0
50102,RM515,0.02
50102,RM200,3.8
50102,RM092,0.5
50103,RM051,25.0
50103,RM1201,2.0
50103,RM004,2.0
50103,RM001,10.0
50103,RM504,20.0
50103,RM507,0.85
50103,RM200,3.0
50044,RM1000,2.59
50103,RM092,0.5
50104,RM1201,1.0
50104,RM1009,5.5
50104,RM1008,0.4
50104,RM004,5.0
50104,RM001,10.0
50104,RM200,4.0
50104,RM092,0.0
50104,RM080,0.6
50104,RM518,0.4
50105,RM051,30.0
50105,RM1201,2.0
50105,RM1009,1.5
50105,RM1008,4.5
50105,RM004,2.0
50105,RM001,10.0
50105,RM200,6.0
50105,RM202,5.5
50105,RM092,0.5
50106,RM051,30.0
50106,RM1201,2.0
50106,RM1008,10.0
50106,RM004,2.0
50106,RM001,8.0
50106,RM703,0.005
50106,RM203,0.5
50106,RM092,0.5
50107,RM051,45.0
50107,RM1201,2.0
50107,RM1000,0.04
50107,RM1008,0.6
50107,RM004,2.0
50107,RM001,8.0
50107,RM505,2.0
50107,RM200,0.0
50107,RM202,12.0
50107,RM092,0.5
50108,RM197,0.15
50108,RM051,25.0
50108,RM1201,2.0
50108,RM1000,1.0
50108,RM004,2.0
50108,RM001,10.0
50108,RM505,7.0
50108,RM202,2.0
50108,RM092,0.5
50109,RM1201,1.0
50109,RM004,2.0
50109,RM001,13.0
50109,RM701,0.002
50109,RM502,0.2
50109,RM053,10.0
50109,RM092,0.5
50111,RM051,30.0
50111,RM1201,2.0
50111,RM004,2.0
50111,RM001,10.0
50111,RM304,0.06
50111,RM505,2.0
50111,RM200,0.5
50111,RM092,0.5
50112,RM197,0.05
50112,RM051,27.0
50112,RM1201,2.0
50112,RM004,2.0
50112,RM001,12.0
50112,RM706,0.44
50112,RM507,6.6
50112,RM200,4.4
50113,RM051,35.0
50113,RM1201,2.0
50113,RM1007,0.2
50113,RM1000,0.4
50113,RM1008,2.5
50113,RM004,0.0
50113,RM001,5.0
50113,RM505,13.2
50113,RM202,0.0
50113,RM092,0.5
50115,RM1201,2.0
50115,RM004,5.0
50115,RM001,20.0
50115,RM517,0.77
50115,RM507,1.0
50115,RM200,5.25
50118,RM051,25.0
50118,RM183,0.01
50118,RM1201,2.0
50118,RM001,12.0
50118,RM304,0.01
50118,RM502,1.0
50118,RM200,6.0
50120,RM051,3.5
50120,RM1201,0.3
50120,RM1008,1.39
50120,RM004,0.2
50120,RM001,0.8
50120,RM702,0.05
50120,RM200,0.835
50121,RM051,25.0
50121,RM1201,2.0
50121,RM1008,5.5
50121,RM004,2.0
50121,RM001,8.0
50121,RM504,7.0
50121,RM505,0.12
50121,RM200,0.25
50122,RM051,30.0
50122,RM1201,2.0
50122,RM1007,0.1
50122,RM1000,0.2
50122,RM1008,4.7
50122,RM004,1.0
50122,RM001,7.0
50122,RM505,10.0
50123,RM056,3.24
50123,RM1201,0.25
50123,RM1007,0.13
50123,RM1008,1.185
50123,RM004,0.525
50123,RM001,1.315
50123,RM200,0.84
50125,RM056,35.0
50125,RM1201,2.0
50125,RM1011,10.0
50125,RM004,2.0
50125,RM001,8.0
50125,RM700,0.05
50125,RM203,0.8
50126,RM050,33.0
50126,RM1201,1.0
50126,RM1007,0.75
50126,RM1000,0.5
50126,RM1008,1.0
50126,RM005,15.0
50126,RM700,0.015
50126,RM505,4.0
50126,RM101,1.0
50128,RM051,35.0
50128,RM1201,2.0
50128,RM004,0.0
50128,RM001,7.0
50128,RM503,1.9
50128,RM203,3.6
50129,RM051,3.3
50129,RM1201,0.25
50129,RM1007,0.02
50129,RM1000,0.04
50129,RM1008,0.685
50129,RM004,0.25
50129,RM001,1.05
50124,RM1201,1.7
50129,RM505,1.532
50129,RM200,0.392
50130,RM051,25.0
50130,RM1201,2.0
50130,RM1007,0.25
50130,RM1008,1.0
50130,RM001,14.0
50130,RM700,0.5
50130,RM505,10.0
MT1001,RM005,5.6
MT1001,RM054,13.7
MT1001,RM1201,0.8
MT1001,RM183,2.78
MT1001,RM919,1.71
50133,RM050,31.0
50133,RM1201,1.7
50133,RM1011,3.0
50133,RM005,10.0
50133,RM001,5.0
50133,RM504,9.0
50133,RM203,2.5
50134,RM050,30.0
50134,RM1201,2.0
50134,RM1011,20.0
50134,RM001,1.0
50134,RM505,0.75
50134,RM203,2.0
50135,RM050,40.0
50135,RM1201,2.0
50135,RM1000,0.02
50135,RM1011,3.0
50135,RM005,5.0
50135,RM001,10.0
50135,RM504,9.0
50135,RM203,2.5
50136,RM056,7.2
50136,RM1201,0.2
50136,RM1011,6.8
50136,RM005,0.8
50136,RM004,0.0
50136,RM700,0.05
50137,RM051,42.0
50137,RM1201,1.0
50137,RM1011,21.0
50137,RM005,8.0
50137,RM001,0.0
50137,RM700,0.4
50138,RM051,35.0
50138,RM1201,2.0
50138,RM1007,1.2
50138,RM1008,5.8
50138,RM005,8.0
50138,RM001,0.0
50138,RM700,0.6
50138,RM505,5.8
50139,RM051,33.0
50139,RM1201,2.0
50139,RM1008,4.2
50139,RM005,10.0
50139,RM001,0.5
50139,RM700,0.065
50139,RM505,7.56
50139,RM202,0.72
50140,RM051,37.0
50140,RM1201,2.0
50140,RM1008,14.9
50140,RM005,8.5
50140,RM001,0.0
50140,RM700,0.11
50140,RM202,0.25
50141,RM051,35.0
50141,RM1201,2.0
50141,RM1008,8.0
50141,RM005,2.5
50141,RM001,5.0
50141,RM700,0.07
50141,RM504,4.0
50141,RM200,1.0
50142,RM050,33.0
50142,RM1201,1.0
50142,RM1007,1.5
50142,RM1000,1.0
50142,RM1008,2.0
50142,RM005,15.0
50142,RM700,0.03
50142,RM505,8.0
50142,RM101,1.0
50143,RM050,25.0
50143,RM1201,1.0
50143,RM1007,0.8
50143,RM1000,0.55
50143,RM1008,6.5
50143,RM005,12.0
50143,RM101,1.0
50145,RM051,30.0
50145,RM1201,2.0
50145,RM1008,17.0
50145,RM005,10.0
50145,RM001,0.0
50145,RM700,0.0
50145,RM505,0.0
50145,RM202,0.0
50146,RM050,3.0
50146,RM1201,0.3
50146,RM1007,0.02
50146,RM1000,0.08
50146,RM105,0.1
50146,RM005,1.5
50146,RM104,0.05
50146,RM502,0.2
50146,RM505,1.52
50146,RM200,0.39
50147,RM056,4.3
50147,RM1201,0.1
50147,RM1011,3.5
50147,RM001,3.9
50147,RM700,0.04
50147,RM101,0.3
50148,RM056,8.0
50148,RM1201,0.3
50148,RM1011,10.0
50148,RM004,0.0
50148,RM001,0.5
50148,RM700,0.08
50149,RM050,28.0
50149,RM1201,2.0
50149,RM1011,13.4
50149,RM001,7.0
50149,RM702,0.015
50149,RM700,0.4
50149,RM505,7.0
50150,RM050,28.0
50150,RM1201,2.0
50150,RM1011,17.5
50150,RM001,7.0
50150,RM702,0.017
50150,RM700,0.52
50150,RM505,9.0
50151,RM1201,0.3
50151,RM1007,0.2
50151,RM1000,0.112
50151,RM1008,1.47
50151,RM001,2.0
50131,RM700,0.09
50132,RM1011,5.75
50131,RM505,7.0
50131,RM1011,2.34
50131,RM1007,0.78
50131,RM1201,1.2
50131,RM050,22.0
50131,RM005,7.0
50151,RM053,3.0
50152,RM051,25.0
50152,RM1201,2.0
50152,RM1000,0.1
50152,RM1008,6.0
50152,RM001,9.0
50152,RM700,0.3
50152,RM505,13.5
50152,RM200,1.5
50153,RM056,4.5
50153,RM1201,0.1
50153,RM1011,1.0
50153,RM005,1.0
50153,RM001,0.4
50153,RM700,0.04
50153,RM504,1.0
50153,RM101,0.3
50154,RM050,23.5
50154,RM1201,1.0
50154,RM1011,23.0
50154,RM001,5.0
50154,RM700,0.3
50155,RM051,31.0
50155,RM1201,2.0
50155,RM1011,18.0
50155,RM005,4.0
50155,RM001,0.0
50155,RM700,0.07
